Year,Month,Day,CPI,ZHVI,State
2003,01,01,181.7,92711.68671714184,Mississippi
2003,01,01,181.7,114893.56058182764,Louisiana
2003,01,01,181.7,105860.34742225596,Alabama
2003,01,01,181.7,102383.26090040152,Indiana
2003,01,01,181.7,110605.32318956248,Nebraska
2003,01,01,181.7,89434.98700599269,Oklahoma
2003,01,01,181.7,132977.13539743773,New Mexico
2003,01,01,181.7,111354.13402143156,South Dakota
2003,01,01,181.7,91350.76242162818,Kentucky
2003,01,01,181.7,114292.48636747012,Ohio
2003,01,01,181.7,100093.66266913124,Iowa
2003,01,02,183.1,275836.776392461,California
2003,01,02,183.1,156181.90837717114,Virginia
2003,01,02,183.1,137226.49934474428,Florida
2003,01,02,183.1,195467.13480371915,New York
2003,01,02,183.1,235023.595795286,New Jersey
2003,01,02,183.1,116994.55043761167,Texas
2003,01,02,183.1,174257.25871250912,Utah
2003,01,02,183.1,195486.61570832253,Washington
2003,01,02,183.1,154476.28636064904,Illinois
2003,01,02,183.1,214833.00476609115,Colorado
2003,01,02,183.1,93987.15289913984,Arkansas
2003,01,02,183.1,155785.67704345693,Arizona
2003,01,02,183.1,180311.6733535232,Nevada
2003,01,02,183.1,131841.9130115875,Michigan
2003,01,02,183.1,189023.7557612066,New Hampshire
2003,01,02,183.1,191344.92031206453,Rhode Island
2003,01,02,183.1,114884.31916387206,Pennsylvania
2003,01,02,183.1,116460.44964979267,Tennessee
2003,01,02,183.1,283337.6557650836,Massachusetts
2003,01,02,183.1,230201.81004329585,the District of Columbia
2003,01,02,183.1,167494.4044640418,Minnesota
2003,01,02,183.1,137334.90504966784,North Carolina
2003,01,02,183.1,167282.1785466319,Oregon
2003,01,02,183.1,143034.13703491585,Georgia
2003,01,02,183.1,239854.73466820104,Hawaii
2003,01,02,183.1,79343.89908594504,West Virginia
2003,01,02,183.1,190412.11201247212,Maryland
2003,01,02,183.1,141801.5901546555,Maine
2003,01,02,183.1,129976.642830779,Idaho
2003,01,02,183.1,169832.01726423905,Alaska
2003,01,02,183.1,122838.47832542234,South Carolina
2003,01,02,183.1,135271.04743789614,Wisconsin
2003,01,02,183.1,140467.4357862304,Vermont
2003,01,02,183.1,114372.26738465922,Missouri
2003,01,02,183.1,98166.19928969449,Kansas
2003,01,02,183.1,210384.7819900914,Connecticut
2003,01,02,183.1,174188.57430398124,Delaware
2003,01,02,183.1,141639.9142432457,Wyoming
2003,01,02,183.1,92838.40818874064,Mississippi
2003,01,02,183.1,115313.596105092,Louisiana
2003,01,02,183.1,106128.09937949695,Alabama
2003,01,02,183.1,102395.383045367,Indiana
2003,01,02,183.1,111004.66463550228,Nebraska
2003,01,02,183.1,89663.02559086535,Oklahoma
2003,01,02,183.1,133219.4462605227,New Mexico
2003,01,02,183.1,112171.4365832741,South Dakota
2003,01,02,183.1,91570.00396558765,Kentucky
2003,01,02,183.1,114595.85116173116,Ohio
2003,01,02,183.1,100394.36635704602,Iowa
2003,01,03,184.2,278873.5213397131,California
2003,01,03,184.2,157313.41904979854,Virginia
2003,01,03,184.2,138466.98174458867,Florida
2003,01,03,184.2,197151.8216063096,New York
2003,01,03,184.2,237666.98617354865,New Jersey
2003,01,03,184.2,117159.80208648097,Texas
2003,01,03,184.2,174203.20005393843,Utah
2003,01,03,184.2,196285.18016214517,Washington
2003,01,03,184.2,155264.26557453338,Illinois
2003,01,03,184.2,215107.72216031165,Colorado
2003,01,03,184.2,94244.69970578664,Arkansas
2003,01,03,184.2,156426.34686888542,Arizona
2003,01,03,184.2,181599.83195807756,Nevada
2003,01,03,184.2,132048.59520076957,Michigan
2003,01,03,184.2,191116.0917784933,New Hampshire
2003,01,03,184.2,194055.0481392182,Rhode Island
2003,01,03,184.2,115504.77507723084,Pennsylvania
2003,01,03,184.2,116665.2194670455,Tennessee
2003,01,03,184.2,286104.4292358311,Massachusetts
2003,01,03,184.2,232812.8650183594,the District of Columbia
2003,01,03,184.2,168564.99500360512,Minnesota
2003,01,03,184.2,137530.9989035744,North Carolina
2003,01,03,184.2,167882.97540550792,Oregon
2003,01,03,184.2,143334.539430693,Georgia
2003,01,03,184.2,242821.33147108715,Hawaii
2003,01,03,184.2,79690.33866420039,West Virginia
2003,01,03,184.2,192168.02400321607,Maryland
2003,01,03,184.2,142915.9421835729,Maine
2003,01,03,184.2,130065.48352927358,Idaho
2003,01,03,184.2,169999.88522926482,Alaska
